2025-09-28 03:46:24,431 |     INFO |             __init__:  60 | === Starting PDF Processing Run: debug_overfitting ===
2025-09-28 03:46:24,441 |     INFO |  log_text_extraction:  90 | Extracted text (1710 chars): 'RNNs and LSTM Quiz\nMultiple Choice Questions\nQ1. What is the primary benefit of stacking multiple RNN layers (i.e., stacked\nRNNs)?\nA. Faster training\nB. Lower memory usage\nC. Better learning of hierarchical features\nD. Simpler architecture\nQ2. Which of the following is the main reason RNNs struggle with long-term depen-\ndencies?\nA. Overfitting\nB. Vanishing gradients\nC. Lack of non-linearity\nD. Insufficient data\nQ3. What differentiates an LSTM cell from a standard RNN cell?\nA. It uses ReLU instea...'
2025-09-28 03:46:24,441 |    DEBUG |  log_text_extraction:  95 | Full extracted text saved to: /Users/ashishrajshekhar/codex_code_glyph/runs/debug_overfitting/extracted_text.txt
2025-09-28 03:46:24,442 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/debug_overfitting/input.pdf (77879 bytes)
2025-09-28 03:46:24,442 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  81 | Word mappings to apply: 3 total
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'overfitting' → 'underfitting'
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'Overfitting' → 'Underfitting'
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'OVERFITTING' → 'UNDERFITTING'
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  81 | Word mappings to apply: 3 total
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'overfitting' → 'underfitting'
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'Overfitting' → 'Underfitting'
2025-09-28 03:46:24,442 |     INFO |         log_mappings:  83 |   'OVERFITTING' → 'UNDERFITTING'
2025-09-28 03:46:24,452 |     INFO | log_pattern_building:  99 | Building regex pattern for 3 words (ignore_case=True)
2025-09-28 03:46:24,452 |    DEBUG | log_pattern_building: 100 | Words to match: ['overfitting', 'Overfitting', 'OVERFITTING']
2025-09-28 03:46:24,452 |    DEBUG | log_pattern_building: 101 | Compiled pattern: overfitting|OVERFITTING|Overfitting
2025-09-28 03:46:24,461 |     INFO | _apply_overlay_mode_mapping: 297 | Processing page 1 with 89 operations
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 1: b'BT' with 0 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 2: b'Tf' with 2 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 3: b'Td' with 2 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 4: b'TJ' with 1 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['RNNs', 'and', 'LSTM', 'Quiz']
2025-09-28 03:46:24,461 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'RNNsandLSTMQuiz'
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 5: b'Tf' with 2 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 6: b'Td' with 2 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 7: b'TJ' with 1 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 148 |   TJ array texts: ['Multiple', 'Choice', 'Questions']
2025-09-28 03:46:24,461 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'MultipleChoiceQuestions'
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 8: b'Tf' with 2 operands
2025-09-28 03:46:24,461 |    DEBUG | log_content_stream_operation: 136 | Page 1, Op 9: b'Td' with 2 operands
