2025-09-28 10:28:39,200 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250928_102839_200 ===
2025-09-28 10:28:39,200 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '=0'
2025-09-28 10:28:39,200 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '9:Will'
2025-09-28 10:28:39,200 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: '=0 9:Will'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'IfWh=1'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '2:Willgradients'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: 'IfWh=1 2:Willgradients'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'value0'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '.'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '5percent'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: 'value0 . 5percent'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 1: '. 5percent'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'simpletext'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'nonumbers'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: 'simpletext nonumbers'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Thevalue0.9:shows'
2025-09-28 10:28:39,201 |     INFO |     process_tj_array:  52 | TJ Array - Applied 1 replacements
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '=0'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '9:Willgradientsvanish'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: '=0 9:Willgradientsvanish'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '=1'
2025-09-28 10:28:39,201 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '2:Willgradientsvanish'
2025-09-28 10:28:39,201 |    DEBUG | _find_cross_array_matches: 118 | Cross-array window 0: '=1 2:Willgradientsvanish'
